indv	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
HG00108	0.0074	0.0233	-0.002	-8e-04	-0.013	-0.0203	0.009	0.0116	-0.0082	-0.0129	0.012	-0.008	-0.0025	-2e-04	-0.0042	0.0022	-0.011	-0.0085	0.0073	-9e-04
HG00109	0.0068	0.0102	0.0114	-0.0144	0.0085	0.0049	-0.0021	0.0071	0.0056	0.0073	-0.0028	-0.0092	0.0012	0.0055	0.001	-0.0093	-0.0029	0.0031	-0.0034	-9e-04
HG00110	0.0103	0.0088	0.0211	0.0056	0.0087	-0.0083	0.0036	0.0029	-0.0045	0.0018	-0.0028	0.0055	0.0059	0.0029	-0.0048	-0.0035	0.0036	-3e-04	-0.0013	-0.0084
HG00111	0.0104	0.0207	-0.0059	-0.0124	4e-04	0.0019	2e-04	0.0086	-0.0056	0.0046	-0.0049	-0.0035	0.0139	-0.0021	-0.008	-0.0018	-0.0124	-2e-04	-0.0075	-0.0044
HG00112	0.0089	0.0195	-0.0041	-0.0113	0.0025	0.0098	-0.0051	0.008	-7e-04	0.0055	-0.0051	-0.0097	0.0074	-5e-04	-0.0037	0.0013	-0.0012	0.0106	-0.0021	-0.0023
HG00113	0.0078	0.0205	-0.0034	-0.0247	0.0105	0.0048	-0.0094	0.0174	-0.0057	-0.0013	-3e-04	-0.0032	0.0224	-0.0027	-0.0202	-0.006	-0.0064	-0.0125	-0.0162	-0.0057
HG00114	0.009	-0.0067	0.0155	0.0094	-0.0076	-0.0015	0.0057	-0.0014	-4e-04	-0.0046	-0.0011	-5e-04	0.0031	-0.0055	-0.004	0.0032	-0.0045	-0.0029	-0.0047	2e-04
HG00115	0.0067	0.0147	0.0026	-0.0204	0.0044	-0.0068	-9e-04	0.013	-0.0039	-0.0029	5e-04	-0.0042	0.0154	0.0029	-0.0048	-0.0053	-0.0016	-0.0051	-6e-04	-0.003
HG00116	0.0092	0.0272	2e-04	-0.0145	6e-04	0.0108	-0.0019	0.0036	-0.002	0.0089	-0.0087	-0.0076	0.0099	-1e-04	-0.0012	7e-04	-0.0086	0.0054	-0.0051	-0.0018
HG00117	0.0105	0.0221	-0.0012	-0.0048	0.0082	0.0112	-0.0158	0.0085	-0.002	0.0084	-0.0084	-0.0054	0.0056	-0.0026	-0.0042	0.0027	6e-04	0.0073	0.003	7e-04
HG00118	0.0086	0.0198	-0.0016	-0.0131	0.0019	0.0014	-0.0054	0.0128	-0.0037	-0.0028	-0.0013	-0.0072	0.0095	-0.0065	-0.0087	0.0011	-0.0056	0.0026	9e-04	-0.0042
HG00119	0.0077	0.0169	0.0248	-0.0026	0.0095	0.0026	-0.0076	6e-04	7e-04	0.0016	-0.0061	0.003	-0.0063	-0.001	0.0052	-0.001	0.0026	0.0053	0.0062	0.0017
HG00121	0.0067	0.03	0.004	-0.0062	-0.0033	-0.0062	0.0096	0.005	-0.0058	-6e-04	0.0044	-8e-04	0.006	0.0077	-0.0043	-0.0039	-0.0135	-0.0177	-0.0081	3e-04
HG00122	0.0101	0.0143	0.0387	-0.0029	0.0116	-0.0023	0.0018	-0.0047	0.0059	0.0107	-0.0071	5e-04	0.0045	0.0071	3e-04	-0.0066	0.0077	0.0095	-0.0029	-0.0071
HG00123	0.0078	0.019	0.0282	8e-04	0.0105	-7e-04	-0.0015	-5e-04	-0.0028	0.0137	-0.0123	0.0035	-0.0011	0.005	0.004	4e-04	-0.0022	0.0049	0.0021	-7e-04
HG00125	0.0044	0.0297	0.0056	0.0083	0.0014	0.0012	-0.0094	0.0157	-0.0047	-0.0104	0.0034	-0.0023	-0.0061	-0.0126	-0.0061	0.0053	0	0.0116	0.0195	2e-04
HG00126	0.0084	0.0041	0.0188	0.0127	-0.0015	-0.0258	0.0099	0.0079	-0.0074	-0.0092	0.0065	0.009	0.0013	-0.0041	-0.0067	-0.0038	-0.0016	-0.01	-0.0026	-0.0079
HG00127	0.0029	0.0106	0.0173	-0.019	0.0079	0.0053	0.0079	0.0084	0.0012	-0.0196	0.0114	0.0154	0.0041	-0.0045	-0.0088	-0.0092	-0.0038	-0.0131	0.0049	-0.005
HG00128	0.0018	0.0174	-0.0051	-0.0501	-0.0052	0.0093	0.0023	-0.0013	-0.0016	2e-04	-0.0048	8e-04	-0.0059	0.0092	0.0135	0.0041	0.0052	0.0098	0.0109	-4e-04
HG00129	0.01	0.0184	-0.009	-0.0178	-0.004	-0.0016	-6e-04	0.0128	-0.0081	-0.0075	-1e-04	-0.004	0.0068	-0.0023	-0.0059	0.0022	-0.008	-0.001	0.0025	6e-04
HG00130	0.0094	0.0145	0.0046	-0.0108	5e-04	-0.0038	-0.0026	0.0101	-0.0011	-0.0042	0.001	-0.0074	0.0038	-0.0022	-0.0034	3e-04	0.002	0.0101	0.006	-0.0013
HG00131	0.0074	0.0023	0.0251	-0.0049	0.0128	0.0307	-0.0155	-0.0078	0.0097	-0.0042	-0.0037	0.006	0.0047	-0.0089	-0.0112	-0.0016	0.0056	-0.0094	-0.0102	0.0016
HG00132	0.0044	0.0098	0.0101	-0.0155	-0.005	0.0031	0.0084	-0.0067	0.0116	-0.0108	0.0113	0.0052	0.0015	0.0021	0.007	-0.0044	0.0142	-0.0043	0.0035	-0.0015
HG00133	0.0096	0.0043	0.0094	-0.0103	-0.0084	-0.0116	0.0086	0.0058	6e-04	-0.0121	0.0123	-0.006	6e-04	-0.0052	-0.0041	0.001	6e-04	0.003	0	-0.0035
HG00136	0.0061	0.0146	0.027	0.0015	0.0137	-0.001	-0.003	0.0014	-7e-04	0.0116	-0.009	0.0038	0.003	0.003	-0.0011	-0.0021	5e-04	-9e-04	-0.0054	-0.003
HG00137	0.0096	0.021	8e-04	0.0078	0.0071	0.0016	-0.0111	0.0111	-0.005	0.0053	-0.0092	-0.0034	0.0082	-0.0042	-0.0101	0.0015	-0.0062	0.0019	-0.0011	-0.0049
HG00138	0.0062	0.029	9e-04	-0.0243	0.0049	0.0084	-0.0058	0.0081	-0.0074	0.006	-0.0064	0.0024	0.0051	0.0044	0.0045	0.006	-0.0096	-0.0013	0.0049	0.0043
HG00139	0.0119	0.019	-0.0023	0.0149	-0.007	-0.0085	0	0.0063	-0.0061	-6e-04	-0.0017	-0.003	0.0098	-0.0041	-0.009	0.0033	-0.0042	0.0032	-0.003	-0.0054
HG00140	0.0075	0.0248	0.0027	-0.0031	0.0117	0.0057	-0.007	0.0074	-0.0058	0.0118	-0.0121	0.0037	0.0123	3e-04	-0.0066	-0.0042	-0.0109	-0.0032	-0.0083	-0.0048
HG00141	0.0077	0.0261	0.0018	-0.0187	0.0089	0.0157	-0.0159	0.0105	-0.0017	-0.001	-0.0076	-0.0052	-0.0043	-0.0075	-0.0025	0.0065	-0.0051	0.0078	0.0106	0.0013
HG00142	0.0088	0.01	-0.0053	-0.0114	-0.0091	-0.0096	-6e-04	0.0127	-0.0043	-0.0185	0.0085	-0.0049	-0.0028	-0.0086	-0.0019	0.0066	-0.0035	-0.0021	0.0141	0.0028
HG00143	0.0014	0.0187	0.0014	-0.0141	0.0061	0.0187	0.0083	-0.0022	0.0061	-0.0019	0.0031	0.0077	0.0079	0.001	-0.0017	-0.0072	0.0042	0.0025	-0.0013	-0.0043
HG00145	0.003	0.0121	0.0122	-0.023	6e-04	-0.0083	7e-04	0.0101	-0.0099	-0.0152	0.0073	0.0049	-0.0098	-0.0029	0.0052	0.0058	-0.0032	-0.0085	0.0124	0.0064
HG00146	0.0054	0.0021	0.0202	-0.0372	0.0012	9e-04	0.0072	0.0031	0.0046	-0.0148	0.011	-0.0029	-0.0011	-0.0042	-0.0023	1e-04	-5e-04	-0.0027	0.0019	-9e-04
HG00148	0.0074	0.005	0.0129	-0.0421	0.0078	0.0023	-0.0046	0.0163	0.0057	-0.0269	0.015	-0.0099	0.0016	-0.0122	-0.0182	-0.0067	0.0016	-0.0079	-0.0041	-0.0039
HG00149	0.0088	0.0176	0.0035	-0.0192	-0.0102	-0.0171	-5e-04	0.0173	-0.0073	-0.0212	0.0116	-0.0091	2e-04	-0.0053	-0.004	0.0036	0	-0.003	0.0101	0.0022
HG00150	0.0071	-0.0146	0.039	-0.0212	-0.0106	-0.021	0.0129	0.0063	-0.0028	-0.0187	0.0105	-0.0102	-0.0017	-0.0026	-0.005	0.0011	0.0012	0.0017	7e-04	-2e-04
HG00151	0.008	0.0147	0.0083	-0.025	0.0097	0.0092	1e-04	0.0083	-0.0042	0.011	-0.0083	-7e-04	0.0185	0.0043	-0.0047	-0.0057	-0.0065	0.0045	-0.0104	-0.0042
HG00154	0.0081	0.0096	0.0156	-0.0207	-0.0058	-0.0224	0.0033	0.0196	-0.0088	-0.0201	0.013	-0.005	-0.0035	-0.0072	-0.0041	0.0042	-0.0015	-0.0034	0.0092	4e-04
HG00155	0.0085	0.026	0.003	-0.0013	0.0067	0.0158	-0.0142	0.0036	0.0015	-0.001	-0.0041	-0.0031	0.008	-0.0095	-0.0111	2e-04	7e-04	-0.0013	-0.0048	-9e-04
HG00157	0.006	0.0242	0.0052	0.0075	0.0057	2e-04	-0.0018	0.0022	-0.0094	0.0124	-0.0088	0.0058	8e-04	0.003	0.0042	0.0041	-0.0106	-0.0058	0.004	6e-04
HG00158	0.0037	0.006	0.0136	-0.0649	0.0171	0.0102	-0.004	0.0213	-2e-04	-0.0094	6e-04	-0.0059	0.0137	0.006	-0.0056	-0.01	-0.001	-0.006	-8e-04	-8e-04
HG00159	0.0062	0.0158	0.0269	-0.0033	0.0137	4e-04	-0.0092	0.0055	-0.0012	0.0062	-0.0081	0	-0.0027	2e-04	4e-04	-0.0021	0.002	0.0053	0.0026	-0.0015
HG00160	0.008	0.0101	0.0212	-0.0016	0.0103	-0.0059	-0.0067	0.0074	-0.0033	0.0082	-0.0075	-0.0041	-0.0075	0.0046	0.0051	2e-04	0.0013	0.0095	0.0081	0.003
HG00171	0.0091	0.0018	0.007	-0.0157	8e-04	-0.0063	0.0063	0.0032	-0.0029	0.0064	-0.0036	-0.0022	0.0052	0.008	0.0038	-0.0048	-0.0027	0.0042	-0.005	1e-04
HG00173	0.01	0.0091	0.0047	-0.0197	0.0152	0.0174	-0.0168	0.0112	0.0023	-0.0038	-0.0019	-0.0039	0.0042	-0.0069	-0.0101	-0.0052	-0.0021	-0.0035	-0.0052	5e-04
HG00174	0.0057	0.0133	0.0308	-0.0044	0.0181	4e-04	-0.0071	0.0054	0.0017	0.0019	-0.0042	0.0063	0.0016	-0.0027	-0.0053	-0.0056	0.0037	-0.0037	-0.0015	-0.0063
HG00176	0.0093	0.0112	0	-0.022	0.0071	0.0034	-0.0118	0.0143	5e-04	0.007	-0.005	-0.0197	0.0021	0.0056	0.0013	2e-04	0.0061	0.0181	0.0047	3e-04
HG00177	0.0065	0.0026	0.0433	-0.0102	0.0176	0.008	-0.0107	7e-04	0.0115	-0.0074	0.0016	0.0023	-0.0072	-0.0051	-0.0018	-0.0084	0.0201	0.0088	0.0059	-0.0039
HG00178	0.0081	0.011	0.0202	0.0017	0.0131	0.0103	-0.0188	0.0024	0.0056	0.0029	-0.0066	-0.0034	-0.0086	-0.0054	4e-04	4e-04	0.0106	0.0114	0.0086	0.0025
HG00179	0.0049	0.0035	0.0309	0.0039	0.0074	-0.0119	-0.0071	0.0046	0.0063	-0.0101	0.0065	-0.0012	-0.0123	-0.0047	0.0016	-5e-04	0.0161	9e-04	0.0096	-7e-04
HG00180	0.0087	0.0117	0.0187	-0.024	0.0079	-0.0039	-0.0043	0.0136	0	-0.0137	0.0073	-0.001	0.0101	-0.0058	-0.015	-0.0082	-0.002	-0.0118	-0.0065	-0.003
HG00181	0.0111	0.0025	0.0195	0.0027	0.0097	0.0013	-0.013	0.0075	0.0085	-0.0096	0.0041	-0.0071	-0.0037	-0.0107	-0.0091	-0.0043	0.0157	0.0106	0.0042	-0.005
HG00182	0.0094	-0.0025	0.0302	-0.0191	0.0025	-0.0033	0.0011	0.0053	0.0073	-0.0156	0.0117	-0.0079	-0.0054	-0.0078	-0.0036	-0.0029	0.0105	0.0068	7e-04	-0.0034
HG00183	0.0074	-0.0011	0.0298	-0.0143	0.011	-0.0083	0.0022	0.0104	-0.0017	-0.0083	0.0049	0.0025	0.0048	-0.0034	-0.0077	-0.0071	0.0023	-0.0032	-0.0029	-0.007
HG00185	0.0094	0.0069	0.018	-0.0053	0.0112	0.012	-0.01	0.0058	0.0076	-0.0137	0.0048	0.0064	0.0019	-0.0115	-0.0119	-0.005	0.0084	-0.0041	-3e-04	-0.0065
HG00186	0.0098	-1e-04	0.0062	-0.024	-0.0015	-0.0104	-0.0012	0.0159	-0.0034	-0.0093	0.0059	-0.0132	0.0032	-0.0025	-0.0034	-0.0019	0.0017	0.0059	-1e-04	-4e-04
HG00187	0.0096	0.0257	0.0062	0.0053	0.0123	0.0052	-0.0144	0.0106	-0.0042	0.0133	-0.0119	-0.0053	0.0092	-0.0039	-0.009	-2e-04	-0.002	0.0062	-0.0037	-0.0042
HG00188	0.0076	0.0354	0.009	0.0035	0.0092	0.0075	-0.0155	-0.0147	-0.0093	0.0157	4e-04	-0.0075	0.008	-0.0046	-0.0051	0.0113	0.004	0.0102	0.0017	0.0017
HG00189	0.0106	0.0039	0.0165	0.0047	0.0028	-0.0111	-0.0058	0.0125	0.0014	-0.0217	0.0137	-0.0011	0.0052	-0.0131	-0.0212	-0.0049	0.0061	-0.0098	-0.0049	-0.0064
HG00190	0.0101	0.0076	0.0199	0.0091	-0.0076	-0.0192	-0.0013	0.0102	0.0013	-0.0177	0.0112	-0.0079	-0.0102	-0.0101	-0.004	0.0019	0.0072	0.0026	0.007	-2e-04
HG00231	0.0061	-4e-04	0.0281	-0.0352	0.0152	-0.0021	-0.0054	0.0168	-0.0041	-0.0019	-0.003	-0.0051	-3e-04	0.0035	0.0013	-0.0056	-0.0011	0.0059	0.0018	-0.0017
HG00232	0.0089	0.0028	0.0102	-0.0207	-0.0104	-0.0226	0.0109	0.0143	-0.0043	-0.0168	0.0131	-0.0062	0.0045	-0.0011	-0.0043	1e-04	0.0016	0.0012	0.0021	-0.0014
HG00233	0.0087	0.0208	0.0022	0.0028	0.0122	0.0183	-0.0061	-0.0032	0.0036	0.0106	-0.0105	0.0116	0.0178	0.0018	-0.0112	-0.0102	-0.0023	-0.0113	-0.0186	-0.0056
HG00234	0.0066	0.0068	0.0133	-0.0143	-0.0031	-0.0057	0.0072	0	-0.0012	-0.0094	0.0066	0.0011	-0.0084	4e-04	0.0052	0.0018	6e-04	2e-04	0.0047	0.0014
HG00235	0.0075	0.0248	0.0022	0.0055	0.0021	0.0022	-0.0145	0.0102	-0.0049	-0.0078	-0.0012	-0.0015	-0.0024	-0.0129	-0.0079	0.0068	-0.0011	-1e-04	0.0083	9e-04
HG00236	0.0108	0.0236	0.0012	0.0145	-0.009	-0.0122	0.0044	0.0055	-0.0079	-0.0017	0.0027	8e-04	0.0093	-0.0044	-0.0056	0.0034	-0.0045	-0.0022	-0.0028	-0.0033
HG00237	0.0047	0.0236	-0.0032	-0.0236	0.0082	-4e-04	-0.0139	0.0224	-0.0116	-0.0099	1e-04	-0.0026	0.0047	-0.0039	-0.0107	0.0018	-0.0078	-0.0129	0.0029	0.004
HG00239	0.0078	0.0133	0.0214	-0.0148	0.0065	4e-04	0.0025	0.0039	0.0056	0.0082	-0.0025	-0.0102	-0.0016	0.006	0.002	-0.0066	-5e-04	0.0041	-0.004	-0.0014
HG00240	0.0058	6e-04	0.0414	-0.0198	0.007	-0.0123	0.0061	0.0044	0.0042	-0.0182	0.0137	-3e-04	-0.0111	-0.0045	-0.0012	-0.0036	0.0062	-0.0039	0.0022	-0.0015
HG00242	0.0095	0.0254	-4e-04	0.0087	-0.0082	-0.0065	-0.0094	0.0146	-0.004	-0.015	0.009	-0.0095	0.0054	-0.0161	-0.0168	0.0067	0.0029	0.0011	7e-04	-0.0025
HG00244	0.0029	0.0144	0.0187	-0.0509	-0.0029	-0.018	0.0066	0.0197	-0.0122	-0.0139	0.0072	-0.0074	-0.0083	0.0046	0.0109	0.0077	-0.0059	0.0015	0.0174	0.0074
HG00245	0.0074	0.0135	-0.0028	0.009	0.0011	-0.0027	-0.003	0.0091	-5e-04	-0.0118	0.0079	-0.001	0.0116	-0.0108	-0.0165	-0.0022	0.0022	-0.006	-0.0079	-0.0075
HG00246	0.01	0.0129	0.0027	-0.0099	-0.0048	-0.0092	0.0037	0.0094	5e-04	-0.0051	0.0033	-0.0043	-0.0014	0.0018	0.0027	9e-04	-0.0023	0.0056	0.0088	-0.0021
HG00250	0.0076	-0.0087	0.0307	-0.0256	-0.0015	-3e-04	0.0025	-0.0099	0.0129	-0.012	0.0071	0.0057	-0.0113	-0.0059	-0.0022	-0.0019	0.0233	0.0114	-0.0047	-0.0122
HG00251	0.0102	0.0191	0.0071	-0.0083	-2e-04	0	-0.0061	0.0112	0.0017	-0.0062	0.0024	-0.008	0.01	-0.0063	-0.0094	0.0013	0.0055	0.0081	9e-04	-0.006
HG00252	0.0084	0.023	0.0024	-0.0017	0.0021	-0.001	-0.0119	0.0135	-0.0057	-0.0087	0.0021	-0.0076	5e-04	-0.0071	-0.0075	0.0046	-0.0013	0.0015	0.0086	0.0017
HG00253	0.0116	0.0085	0.0129	0.0086	-4e-04	-0.0133	0.0054	0.0081	-0.0065	-0.0125	0.0092	0.0039	0.015	-0.0092	-0.0197	-0.0033	-0.0017	-0.0115	-0.0124	-0.0133
HG00254	0.0086	4e-04	0.0405	-0.033	0.0112	-0.0068	0.0078	0.0021	0.0042	0.0032	-0.0013	-0.0033	0.0039	0.01	0.0025	-0.0092	0.0063	0.0071	-0.0071	-0.005
HG00255	0.0116	0.0136	0.0252	0.0047	-4e-04	-0.0071	0.0075	-0.0038	0.0019	-0.0028	0.0038	0.0049	0.0066	-0.0012	-0.0068	-0.0021	0.0038	-0.0015	-0.0112	-0.0076
HG00256	0.0043	0.0104	0.0262	-0.0261	0.0043	0.0042	-0.0015	0.0068	-0.0103	0.0065	-0.0095	-0.0063	-0.003	0.004	0.0068	0.0088	-0.0106	0.0042	0.0081	0.0065
HG00257	0.0085	0.026	0.0049	0.0091	0.0086	6e-04	-0.0042	0.0032	-0.0096	0.0217	-0.0187	0.0072	0.0025	0.0081	0.0073	0.0023	-0.0124	0.0019	0.0034	-8e-04
HG00259	0.0105	2e-04	0.0237	-0.0098	0.0085	-0.0085	-0.0077	0.015	0.0016	-0.0085	0.0056	-0.0083	7e-04	-0.0062	-0.0103	-0.0028	0.0067	0.0061	9e-04	-0.0044
HG00260	0.007	0.0037	0.0113	-0.0395	-0.0066	-0.016	0.008	0.0194	5e-04	-0.0172	0.019	-0.0236	-2e-04	1e-04	-0.0054	-0.0024	-2e-04	0.004	-2e-04	0.001
HG00261	0.0087	0.0257	0.0171	0.0013	0.0128	0.002	-0.0094	0.0059	-0.002	0.0067	-0.0091	0.0019	0.0086	0.0015	-0.0026	-0.0019	0.0018	0.003	0.0059	-0.0038
HG00262	0.0117	0.0056	0.0202	0.0034	0.0016	-0.0041	-0.0011	0.0011	0.0035	-0.0046	0.003	-0.0019	0.0034	-0.0044	-0.0072	-0.0024	0.006	0.0047	-0.0023	-0.0055
HG00263	0.0063	0.0236	0.0022	-0.0047	0.0136	0.0049	-0.0113	0.0119	-0.0088	0.0152	-0.0149	0.0024	0.0055	0.0025	-1e-04	0.0014	-0.0103	0	0.0027	-2e-04
HG00264	0.0105	-0.0011	0.0409	0.0072	-0.0085	-0.028	0.0173	-8e-04	0.0024	-0.0129	0.013	0.0043	-0.0077	-6e-04	0.0032	-0.0037	0.0061	-0.0029	-2e-04	-0.0045
HG00265	0.0076	0.0207	0.0025	-4e-04	0.0192	0.0176	-0.0136	0.0073	0.0013	0.0045	-0.0072	0.0073	0.0181	-0.0035	-0.0159	-0.0086	-0.0031	-0.0136	-0.0129	-0.0067
HG00266	0.0116	0.0141	0.0122	0.0112	-0.0062	-0.0153	0.0072	0.006	-0.0071	-0.0086	0.0047	0.0058	0.0059	-0.0067	-0.0085	0.0013	-0.0041	-0.0068	-0.0043	-0.006
HG00267	0.0115	0.0134	-0.0079	0.0113	0	0.003	-0.015	0.009	1e-04	-0.0018	-0.0016	-0.0098	0.0015	-0.008	-0.0087	0.0019	0.0053	0.0105	0.0039	0.001
HG00268	0.0104	0.0251	0.0026	0.006	-0.0027	0.0037	-0.0068	0.0055	-0.001	-0.0062	0	-4e-04	0.0014	-0.0099	-0.0087	0.004	7e-04	0.0039	6e-04	-0.0012
HG00269	0.0079	0.0151	0.0248	9e-04	0.0089	0.0015	-0.0083	7e-04	0.0019	0.0053	-0.0074	4e-04	-0.0122	-1e-04	0.0071	0.0014	0.0048	0.0066	0.0039	0.0013
HG00271	0.0111	0.0157	-0.0057	0.0065	0.0085	0.0168	-0.0183	0.0031	0.0022	0.0108	-0.0112	-0.0072	0.004	-0.0032	-0.0044	9e-04	0.0033	0.0112	3e-04	1e-04
HG00272	0.0095	0.0101	-0.0024	0.0132	-0.0011	-0.0101	-0.0025	0.008	-0.0014	-0.0177	0.0091	0.0098	0.0037	-0.0098	-0.0146	-0.0053	-0.0013	-0.0197	-0.0019	-0.0027
HG00273	0.011	0.0196	-0.0019	0.0042	0.0104	0.0093	-0.0131	0.0075	-0.0014	0.0147	-0.0129	-0.0043	0.0089	-0.0015	-0.0054	-0.0016	-0.002	0.0071	-0.0037	-0.0021
HG00274	0.0089	0.0193	4e-04	0.0073	0.0084	0.0044	-0.0155	0.0114	-0.0037	3e-04	-0.0047	-0.0015	0.0057	-0.0087	-0.0107	0.0013	3e-04	0.0039	0.0039	-0.003
HG00275	0.0097	0.0118	0.0262	0.0015	0.004	-0.0065	-0.0019	0.0055	0.0021	-0.0073	0.006	-0.0023	9e-04	-0.0068	-0.0076	-0.0011	0.012	0.0072	0.0038	-0.006
HG00276	0.0049	-0.0032	0.0403	-0.004	0.0187	-0.0041	-0.0091	0.0065	0.0049	-0.0164	0.0099	0.0104	-0.009	-0.0091	-0.0082	-0.0079	0.009	-0.0135	-8e-04	-0.005
HG00277	0.0089	0.0144	0.0186	0.0016	0.0114	0.0018	-1e-04	0.0026	-3e-04	0.0016	-0.0045	0.0084	0.0126	-0.0021	-0.0098	-0.0061	7e-04	-0.0045	-0.0054	-0.0093
HG00278	0.0067	0.0176	0.012	-0.0085	0.0088	-0.0105	-0.006	0.0137	-0.01	0.0029	-0.0048	-0.0013	0.007	-0.0015	-0.0065	0.0017	-0.0084	-0.0027	0.0036	-0.0011
HG00280	0.0104	0.0207	-0.0015	0.0064	0.0021	0.0051	-0.0096	0.0065	-0.0018	-0.0013	-9e-04	-0.0019	0.0113	-0.0097	-0.0125	0.0022	7e-04	-4e-04	-0.0044	-0.0047
HG00281	0.0083	0.0173	-0.0094	-0.0404	0.0038	0.003	-0.0039	0.0215	-0.0076	-0.0109	0.0023	-0.0037	0.0134	-0.0024	-0.011	-0.0035	-0.0119	-0.012	-0.0015	-0.0019
HG00282	0.0066	5e-04	0.0228	-0.0077	0.0015	0.007	-0.0044	0.002	-0.0023	-0.0069	-0.0019	-0.0036	0.002	-0.0083	-0.0093	0.0066	-0.0071	-0.0041	-0.0036	0.0014
HG00284	0.0071	0.0183	0.0106	-0.0079	0.0015	-0.0094	-8e-04	0.007	-0.0031	-0.0012	0.0025	-0.0029	0.0053	0.0027	-6e-04	-5e-04	0.0051	-6e-04	0.0012	-6e-04
HG00285	0.0096	0.0241	0.0035	0.0025	0.0096	0.0096	-0.0159	0.0107	-0.0015	0.0029	-0.0076	-0.0055	0.0064	-0.0085	-0.0109	0.0016	5e-04	0.0044	-0.0024	-0.0032
HG00288	0.0096	0.0048	0.0175	0.0092	-0.0047	-0.0188	0.0031	0.0088	-0.0028	-0.015	0.0082	0.003	-0.0039	-0.0076	-0.0051	-9e-04	0.0042	-8e-04	0.0075	-0.0042
HG00290	0.0097	0.0095	0.0225	0.0034	0.0134	5e-04	-0.0087	0.0027	0.003	0.0092	-0.0058	-0.0012	-0.001	3e-04	-6e-04	-0.0036	0.0057	0.0054	-0.0017	-0.0024
HG00304	0.0054	0.0223	-0.0013	-0.0235	0.0164	0.0055	-0.012	0.0192	-0.0078	0.0073	-0.0079	-0.0058	0.017	0.0023	-0.0122	-0.0065	-0.0091	-0.0071	-0.0099	-3e-04
HG00306	0.0081	0.0132	-0.0136	-0.0164	-0.0066	-0.0131	-0.0051	0.0248	-0.0135	-0.0183	0.0094	-0.0094	0.001	-0.0071	-0.0106	0.0064	-0.0086	-0.0036	0.0109	-0.002
HG00308	0.0097	0.0127	0.0239	-0.0027	0.0116	0.0024	-0.0147	0.0076	0.0039	0.0044	-0.0046	-0.0111	-0.0031	-0.004	-0.0024	-7e-04	0.01	0.0148	0	-5e-04
HG00309	0.0104	0.0106	0.0248	0.0031	0.004	-0.0073	-0.0083	0.0063	0.0046	-0.012	0.0048	-0.0016	-0.0108	-0.0098	-0.0047	-6e-04	0.0079	0.0034	0.0063	-4e-04
HG00310	0.0108	0.0089	0.0223	0.0039	4e-04	-0.0037	-0.0022	0.001	0.0071	-0.0106	0.0059	-0.0039	0.0013	-0.008	-0.0085	-0.0035	0.0118	0.0043	-0.0051	-0.0052
