indv	poject	pop3code	population	genetic_region	latitude	longitude	color
NA20279	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20281	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20282	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20287	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20289	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20291	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20294	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20296	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20298	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20299	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20314	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20317	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20318	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20320	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA19700	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA19701	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA19702	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA19703	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA19704	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA19705	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA19707	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA19711	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA19712	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA19713	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20356	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20357	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20358	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20359	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20362	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20412	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA19902	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA19904	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA19908	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA19909	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA19913	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA19818	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA19819	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA19828	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA19834	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA19835	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA19836	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA19900	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA19901	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20321	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20332	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20334	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20339	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20340	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA19914	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20348	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20351	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20355	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20342	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20346	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
HG02325	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG01891	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02257	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG01887	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG01890	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02318	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02055	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02449	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02330	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02502	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02317	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02256	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02258	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02316	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG01889	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02014	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02497	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG01888	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02450	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG01986	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG01895	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02501	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG01985	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02496	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02323	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02577	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG01886	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02477	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02479	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02013	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG01916	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02485	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02255	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG01880	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02095	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02580	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG01988	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02321	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02145	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02322	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02107	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02108	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02481	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG01879	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02511	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG01894	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02339	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02343	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG01882	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02143	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG01884	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG01989	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02445	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02011	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02012	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02505	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02508	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02455	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02489	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02545	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02546	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02549	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG01987	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02555	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02144	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02470	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02471	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02476	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02053	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02111	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02484	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02307	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02308	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02309	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG01881	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02554	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG01883	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02439	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG01885	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02051	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02052	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG01915	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02536	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02332	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02334	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02337	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02419	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02420	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02314	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG01896	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02315	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02442	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02010	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG01914	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG01958	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG01990	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02451	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02541	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02284	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG01960	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02557	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02558	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG01956	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02427	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG01959	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02054	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02537	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02283	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02282	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG01897	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02009	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02433	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG01912	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02281	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02429	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02280	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HGDP00052	HGDP	BAP	Balochi in Pakistan	CSA	30.5	66.5	magenta
HGDP00054	HGDP	BAP	Balochi in Pakistan	CSA	30.5	66.5	magenta
HGDP00060	HGDP	BAP	Balochi in Pakistan	CSA	30.5	66.5	magenta
HGDP00062	HGDP	BAP	Balochi in Pakistan	CSA	30.5	66.5	magenta
HGDP00056	HGDP	BAP	Balochi in Pakistan	CSA	30.5	66.5	magenta
HGDP00066	HGDP	BAP	Balochi in Pakistan	CSA	30.5	66.5	magenta
HGDP00068	HGDP	BAP	Balochi in Pakistan	CSA	30.5	66.5	magenta
HGDP00070	HGDP	BAP	Balochi in Pakistan	CSA	30.5	66.5	magenta
HGDP00072	HGDP	BAP	Balochi in Pakistan	CSA	30.5	66.5	magenta
HGDP00074	HGDP	BAP	Balochi in Pakistan	CSA	30.5	66.5	magenta
HGDP00076	HGDP	BAP	Balochi in Pakistan	CSA	30.5	66.5	magenta
HGDP00078	HGDP	BAP	Balochi in Pakistan	CSA	30.5	66.5	magenta
HGDP00080	HGDP	BAP	Balochi in Pakistan	CSA	30.5	66.5	magenta
HGDP00082	HGDP	BAP	Balochi in Pakistan	CSA	30.5	66.5	magenta
HGDP00057	HGDP	BAP	Balochi in Pakistan	CSA	30.5	66.5	magenta
HGDP00088	HGDP	BAP	Balochi in Pakistan	CSA	30.5	66.5	magenta
HGDP00092	HGDP	BAP	Balochi in Pakistan	CSA	30.5	66.5	magenta
HGDP00064	HGDP	BAP	Balochi in Pakistan	CSA	30.5	66.5	magenta
HGDP00096	HGDP	BAP	Balochi in Pakistan	CSA	30.5	66.5	magenta
HGDP00098	HGDP	BAP	Balochi in Pakistan	CSA	30.5	66.5	magenta
LP6005441-DNA_D01	HGDP	BAP	Balochi in Pakistan	CSA	30.5	66.5	magenta
HGDP00086	HGDP	BAP	Balochi in Pakistan	CSA	30.5	66.5	magenta
LP6005441-DNA_C01	HGDP	BAP	Balochi in Pakistan	CSA	30.5	66.5	magenta
HGDP00094	HGDP	BAP	Balochi in Pakistan	CSA	30.5	66.5	magenta
LP6005441-DNA_B02	HGDP	BAK	Bantu in Kenya	AFR	-3	37	orange
HGDP01419	HGDP	BAK	Bantu in Kenya	AFR	-3	37	orange
LP6005443-DNA_A01	HGDP	BAK	Bantu in Kenya	AFR	-3	37	orange
HGDP01405	HGDP	BAK	Bantu in Kenya	AFR	-3	37	orange
HGDP01406	HGDP	BAK	Bantu in Kenya	AFR	-3	37	orange
HGDP01408	HGDP	BAK	Bantu in Kenya	AFR	-3	37	orange
HGDP01411	HGDP	BAK	Bantu in Kenya	AFR	-3	37	orange
HGDP01412	HGDP	BAK	Bantu in Kenya	AFR	-3	37	orange
HGDP01413	HGDP	BAK	Bantu in Kenya	AFR	-3	37	orange
HGDP01415	HGDP	BAK	Bantu in Kenya	AFR	-3	37	orange
HGDP01416	HGDP	BAK	Bantu in Kenya	AFR	-3	37	orange
HGDP01418	HGDP	BAK	Bantu in Kenya	AFR	-3	37	orange
HGDP01031	HGDP	BAS	Bantu in South Africa	AFR	-25.6	24.25	orange
LP6005443-DNA_E02	HGDP	BAS	Bantu in South Africa	AFR	-25.6	24.25	orange
LP6005441-DNA_F01	HGDP	BAS	Bantu in South Africa	AFR	-25.6	24.25	orange
HGDP00994	HGDP	BAS	Bantu in South Africa	AFR	-25.6	24.25	orange
LP6005443-DNA_G02	HGDP	BAS	Bantu in South Africa	AFR	-25.6	24.25	orange
LP6005443-DNA_F02	HGDP	BAS	Bantu in South Africa	AFR	-25.6	24.25	orange
HGDP00993	HGDP	BAS	Bantu in South Africa	AFR	-25.6	24.25	orange
HGDP01033	HGDP	BAS	Bantu in South Africa	AFR	-25.6	24.25	orange
HGDP01358	HGDP	BAF	Basque in France	EUR	43	0	blue
HGDP01375	HGDP	BAF	Basque in France	EUR	43	0	blue
LP6005441-DNA_C02	HGDP	BAF	Basque in France	EUR	43	0	blue
HGDP01363	HGDP	BAF	Basque in France	EUR	43	0	blue
LP6005441-DNA_D02	HGDP	BAF	Basque in France	EUR	43	0	blue
HGDP01374	HGDP	BAF	Basque in France	EUR	43	0	blue
HGDP01362	HGDP	BAF	Basque in France	EUR	43	0	blue
HGDP01357	HGDP	BAF	Basque in France	EUR	43	0	blue
HGDP01373	HGDP	BAF	Basque in France	EUR	43	0	blue
HGDP01359	HGDP	BAF	Basque in France	EUR	43	0	blue
HGDP01360	HGDP	BAF	Basque in France	EUR	43	0	blue
HGDP01361	HGDP	BAF	Basque in France	EUR	43	0	blue
HGDP01377	HGDP	BAF	Basque in France	EUR	43	0	blue
HGDP01378	HGDP	BAF	Basque in France	EUR	43	0	blue
HGDP01366	HGDP	BAF	Basque in France	EUR	43	0	blue
HGDP01367	HGDP	BAF	Basque in France	EUR	43	0	blue
HGDP01368	HGDP	BAF	Basque in France	EUR	43	0	blue
HGDP01369	HGDP	BAF	Basque in France	EUR	43	0	blue
HGDP01370	HGDP	BAF	Basque in France	EUR	43	0	blue
HGDP01371	HGDP	BAF	Basque in France	EUR	43	0	blue
HGDP01372	HGDP	BAF	Basque in France	EUR	43	0	blue
HGDP01379	HGDP	BAF	Basque in France	EUR	43	0	blue
HGDP01376	HGDP	BAF	Basque in France	EUR	43	0	blue
HGDP01380	HGDP	BAF	Basque in France	EUR	43	0	blue
HGDP00639	HGDP	BEI	Bedouin in Negev, Israel	MID	31	35	purple
HGDP00634	HGDP	BEI	Bedouin in Negev, Israel	MID	31	35	purple
HGDP00647	HGDP	BEI	Bedouin in Negev, Israel	MID	31	35	purple
HGDP00620	HGDP	BEI	Bedouin in Negev, Israel	MID	31	35	purple
HGDP00621	HGDP	BEI	Bedouin in Negev, Israel	MID	31	35	purple
HGDP00623	HGDP	BEI	Bedouin in Negev, Israel	MID	31	35	purple
HGDP00612	HGDP	BEI	Bedouin in Negev, Israel	MID	31	35	purple
HGDP00609	HGDP	BEI	Bedouin in Negev, Israel	MID	31	35	purple
LP6005441-DNA_E02	HGDP	BEI	Bedouin in Negev, Israel	MID	31	35	purple
HGDP00611	HGDP	BEI	Bedouin in Negev, Israel	MID	31	35	purple
HGDP00646	HGDP	BEI	Bedouin in Negev, Israel	MID	31	35	purple
HGDP00619	HGDP	BEI	Bedouin in Negev, Israel	MID	31	35	purple
HGDP00618	HGDP	BEI	Bedouin in Negev, Israel	MID	31	35	purple
HGDP00648	HGDP	BEI	Bedouin in Negev, Israel	MID	31	35	purple
HGDP00622	HGDP	BEI	Bedouin in Negev, Israel	MID	31	35	purple
HGDP00653	HGDP	BEI	Bedouin in Negev, Israel	MID	31	35	purple
HGDP00638	HGDP	BEI	Bedouin in Negev, Israel	MID	31	35	purple
HGDP00608	HGDP	BEI	Bedouin in Negev, Israel	MID	31	35	purple
HGDP00626	HGDP	BEI	Bedouin in Negev, Israel	MID	31	35	purple
HGDP00641	HGDP	BEI	Bedouin in Negev, Israel	MID	31	35	purple
HGDP00643	HGDP	BEI	Bedouin in Negev, Israel	MID	31	35	purple
HGDP00644	HGDP	BEI	Bedouin in Negev, Israel	MID	31	35	purple
HGDP00645	HGDP	BEI	Bedouin in Negev, Israel	MID	31	35	purple
HGDP00631	HGDP	BEI	Bedouin in Negev, Israel	MID	31	35	purple
HGDP00632	HGDP	BEI	Bedouin in Negev, Israel	MID	31	35	purple
HGDP00701	HGDP	BEI	Bedouin in Negev, Israel	MID	31	35	purple
HGDP00624	HGDP	BEI	Bedouin in Negev, Israel	MID	31	35	purple
HGDP00649	HGDP	BEI	Bedouin in Negev, Israel	MID	31	35	purple
HGDP00637	HGDP	BEI	Bedouin in Negev, Israel	MID	31	35	purple
HGDP00628	HGDP	BEI	Bedouin in Negev, Israel	MID	31	35	purple
HGDP00613	HGDP	BEI	Bedouin in Negev, Israel	MID	31	35	purple
HGDP00610	HGDP	BEI	Bedouin in Negev, Israel	MID	31	35	purple
HGDP00625	HGDP	BEI	Bedouin in Negev, Israel	MID	31	35	purple
HGDP00614	HGDP	BEI	Bedouin in Negev, Israel	MID	31	35	purple
HGDP00635	HGDP	BEI	Bedouin in Negev, Israel	MID	31	35	purple
HGDP00629	HGDP	BEI	Bedouin in Negev, Israel	MID	31	35	purple
HGDP00615	HGDP	BEI	Bedouin in Negev, Israel	MID	31	35	purple
HGDP00640	HGDP	BEI	Bedouin in Negev, Israel	MID	31	35	purple
HGDP00654	HGDP	BEI	Bedouin in Negev, Israel	MID	31	35	purple
HGDP00636	HGDP	BEI	Bedouin in Negev, Israel	MID	31	35	purple
LP6005441-DNA_F02	HGDP	BEI	Bedouin in Negev, Israel	MID	31	35	purple
HGDP00630	HGDP	BEI	Bedouin in Negev, Israel	MID	31	35	purple
HGDP00627	HGDP	BEI	Bedouin in Negev, Israel	MID	31	35	purple
HGDP00651	HGDP	BEI	Bedouin in Negev, Israel	MID	31	35	purple
HGDP00607	HGDP	BEI	Bedouin in Negev, Israel	MID	31	35	purple
HGDP00642	HGDP	BEI	Bedouin in Negev, Israel	MID	31	35	purple
HG03605	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
