indv	poject	pop3code	population	genetic_region	latitude	longitude	color
NA19922	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA19923	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA19982	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA19984	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20126	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20127	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20274	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20276	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20278	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20281	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20282	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20287	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20289	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20291	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20294	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20296	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20298	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20299	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20314	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20317	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20318	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20320	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA19700	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA19701	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA19703	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA19704	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA19707	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA19711	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA19712	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA19713	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20356	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20357	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20359	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20362	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20412	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA19904	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA19908	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA19909	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA19913	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA19818	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA19819	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA19834	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA19835	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA19900	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA19901	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20321	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20332	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20334	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20339	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20340	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA19914	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20348	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20351	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20355	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20342	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20346	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
HG02325	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG01890	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02318	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02449	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02330	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02502	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02317	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02256	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG01889	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02014	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02497	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02450	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG01986	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02501	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG01985	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02496	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02323	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02577	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG01886	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02477	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02479	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02013	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02485	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02255	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG01880	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02095	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02580	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG01988	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02322	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02107	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02108	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02481	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG01879	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02511	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG01894	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02339	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02343	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG01882	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02143	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG01989	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02445	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02012	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02505	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02508	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02455	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02489	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02545	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02546	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02549	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02555	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02144	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02470	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02471	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02476	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02053	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02111	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02484	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02307	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02308	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02309	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02554	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG01883	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02439	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG01885	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02051	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02052	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG01915	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02536	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02332	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02334	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02337	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02419	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02420	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02314	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG01896	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02315	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02442	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02010	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG01914	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG01958	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG01990	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02541	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02284	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02557	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02558	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG01956	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02427	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02054	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02537	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02283	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02282	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02009	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02433	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG01912	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02281	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG02429	1000 Genomes	ACB	African Caribbean in Barbados	AFR	13.1	-59.62	orange
HG03007	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG04164	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG03604	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG03830	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG03611	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG03615	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG03006	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG03595	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG03616	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG03603	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG04161	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG04162	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG03809	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG04171	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG03607	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG03585	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG03589	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG03594	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG03598	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG03600	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG04144	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG03009	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG03012	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG03832	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG03833	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG03902	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG04140	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG04141	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG03793	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG03796	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG04173	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG04176	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG04177	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG03905	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG03907	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG04185	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG04186	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG04188	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG04189	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG03940	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG03941	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG03593	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG04194	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG04195	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG03824	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG03826	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG03829	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG04146	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG03916	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG03917	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG04152	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG04153	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG04155	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG04156	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG03908	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG03910	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG03911	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG03913	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG03914	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG03814	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG03815	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG03919	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG04180	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG04182	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG04183	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG03805	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG03808	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG03812	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG04131	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG03821	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG03823	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG03922	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG03925	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG04158	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG04159	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG03800	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG03931	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG03802	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG03926	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG03920	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG04134	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG03928	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG03934	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG03817	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG03803	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG03937	1000 Genomes	BEB	Bengali in Bangladesh	CSA	23.7	90.35	magenta
HG00096	1000 Genomes	GBR	British From England and Scotland	EUR	52.486243	-1.890401	blue
HG00097	1000 Genomes	GBR	British From England and Scotland	EUR	52.486243	-1.890401	blue
HG00099	1000 Genomes	GBR	British From England and Scotland	EUR	52.486243	-1.890401	blue
HG00100	1000 Genomes	GBR	British From England and Scotland	EUR	52.486243	-1.890401	blue
HG00101	1000 Genomes	GBR	British From England and Scotland	EUR	52.486243	-1.890401	blue
HG00102	1000 Genomes	GBR	British From England and Scotland	EUR	52.486243	-1.890401	blue
HG00103	1000 Genomes	GBR	British From England and Scotland	EUR	52.486243	-1.890401	blue
HG00105	1000 Genomes	GBR	British From England and Scotland	EUR	52.486243	-1.890401	blue
HG00106	1000 Genomes	GBR	British From England and Scotland	EUR	52.486243	-1.890401	blue
HG00107	1000 Genomes	GBR	British From England and Scotland	EUR	52.486243	-1.890401	blue
HG00108	1000 Genomes	GBR	British From England and Scotland	EUR	52.486243	-1.890401	blue
HG00109	1000 Genomes	GBR	British From England and Scotland	EUR	52.486243	-1.890401	blue
HG00110	1000 Genomes	GBR	British From England and Scotland	EUR	52.486243	-1.890401	blue
HG00111	1000 Genomes	GBR	British From England and Scotland	EUR	52.486243	-1.890401	blue
HG00112	1000 Genomes	GBR	British From England and Scotland	EUR	52.486243	-1.890401	blue
HG00113	1000 Genomes	GBR	British From England and Scotland	EUR	52.486243	-1.890401	blue
HG00114	1000 Genomes	GBR	British From England and Scotland	EUR	52.486243	-1.890401	blue
HG00115	1000 Genomes	GBR	British From England and Scotland	EUR	52.486243	-1.890401	blue
HG00116	1000 Genomes	GBR	British From England and Scotland	EUR	52.486243	-1.890401	blue
HG00117	1000 Genomes	GBR	British From England and Scotland	EUR	52.486243	-1.890401	blue
HG00118	1000 Genomes	GBR	British From England and Scotland	EUR	52.486243	-1.890401	blue
HG00119	1000 Genomes	GBR	British From England and Scotland	EUR	52.486243	-1.890401	blue
HG00120	1000 Genomes	GBR	British From England and Scotland	EUR	52.486243	-1.890401	blue
HG00121	1000 Genomes	GBR	British From England and Scotland	EUR	52.486243	-1.890401	blue
HG00122	1000 Genomes	GBR	British From England and Scotland	EUR	52.486243	-1.890401	blue
HG00123	1000 Genomes	GBR	British From England and Scotland	EUR	52.486243	-1.890401	blue
HG00125	1000 Genomes	GBR	British From England and Scotland	EUR	52.486243	-1.890401	blue
HG00126	1000 Genomes	GBR	British From England and Scotland	EUR	52.486243	-1.890401	blue
HG00127	1000 Genomes	GBR	British From England and Scotland	EUR	52.486243	-1.890401	blue
HG00128	1000 Genomes	GBR	British From England and Scotland	EUR	52.486243	-1.890401	blue
HG00129	1000 Genomes	GBR	British From England and Scotland	EUR	52.486243	-1.890401	blue
HG00130	1000 Genomes	GBR	British From England and Scotland	EUR	52.486243	-1.890401	blue
HG00131	1000 Genomes	GBR	British From England and Scotland	EUR	52.486243	-1.890401	blue
HG00132	1000 Genomes	GBR	British From England and Scotland	EUR	52.486243	-1.890401	blue
HG00133	1000 Genomes	GBR	British From England and Scotland	EUR	52.486243	-1.890401	blue
HG00136	1000 Genomes	GBR	British From England and Scotland	EUR	52.486243	-1.890401	blue
HG00137	1000 Genomes	GBR	British From England and Scotland	EUR	52.486243	-1.890401	blue
HG00138	1000 Genomes	GBR	British From England and Scotland	EUR	52.486243	-1.890401	blue
HG00139	1000 Genomes	GBR	British From England and Scotland	EUR	52.486243	-1.890401	blue
